Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Porto,0.178317,0.792305,0.028172,0.001206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benfica,0.000423,0.028429,0.693505,0.27764,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sporting,0.821248,0.177274,0.001411,6.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braga,1.2e-05,0.001992,0.276911,0.720737,0.000348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guimaraes,0.0,0.0,0.0,0.0,0.148548,0.552642,0.173197,0.074385,0.032408,0.012975,0.004466,0.001097,0.000247,3.3e-05,2e-06,0.0,0.0,0.0
RioAve,0.0,0.0,0.0,0.0,8e-06,0.000836,0.006837,0.017975,0.035972,0.063261,0.098049,0.140356,0.16863,0.180881,0.170962,0.090085,0.023922,0.002226
PacosFerreira,0.0,0.0,1e-06,0.00035,0.824899,0.15226,0.019572,0.002577,0.000314,2.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SantaClara,0.0,0.0,0.0,0.0,0.018422,0.14141,0.347314,0.216966,0.130837,0.074634,0.039608,0.01845,0.00817,0.003276,0.000858,5.3e-05,2e-06,0.0
Moreirense,0.0,0.0,0.0,0.0,0.002521,0.073281,0.170195,0.216186,0.190554,0.148026,0.100991,0.055437,0.027789,0.011686,0.003132,0.000195,7e-06,0.0
Famalicao,0.0,0.0,0.0,0.0,1e-05,0.001349,0.007699,0.017047,0.032145,0.053148,0.083496,0.129051,0.16291,0.184664,0.193603,0.097256,0.032319,0.005303
Portimonense,0.0,0.0,0.0,0.0,0.001051,0.027526,0.083671,0.146653,0.162873,0.16177,0.14083,0.107062,0.077942,0.053388,0.028784,0.007348,0.001096,6e-06
Boavista,0.0,0.0,0.0,0.0,2.8e-05,0.001103,0.011494,0.025897,0.045557,0.069502,0.099848,0.13884,0.159869,0.163951,0.146402,0.095244,0.040021,0.002244
GilVicente,0.0,0.0,0.0,0.0,0.002921,0.031951,0.092678,0.131752,0.160717,0.166144,0.149127,0.105592,0.071799,0.046405,0.026533,0.011279,0.003086,1.6e-05
Belenenses,0.0,0.0,0.0,0.0,8.9e-05,0.002749,0.016728,0.036104,0.061532,0.088316,0.117379,0.149422,0.164341,0.16412,0.139912,0.050168,0.008991,0.000149
Tondela,0.0,0.0,0.0,0.0,0.001152,0.014883,0.070526,0.113947,0.145158,0.156651,0.152256,0.122781,0.093812,0.06871,0.043194,0.014144,0.002668,0.000118
Maritimo,0.0,0.0,0.0,0.0,0.0,1e-05,6.6e-05,0.000392,0.001472,0.004209,0.010496,0.023889,0.047161,0.085582,0.162744,0.396917,0.247493,0.019569
Farense,0.0,0.0,0.0,0.0,0.0,0.0,2.3e-05,0.000117,0.000459,0.001317,0.00339,0.007777,0.016475,0.034725,0.077193,0.217191,0.565701,0.075632
Nacional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,2e-06,2e-05,6.4e-05,0.000246,0.000855,0.002579,0.006681,0.02012,0.074694,0.894737
